model,config,seed,cv_accuracy,test_accuracy,balanced_accuracy,macro_f1,roc_auc_ovr,ece,recall_normal,recall_suspect,recall_pathological
SVM,B — +L4,4,0.8817647058823528,0.8943661971830986,0.9091338720499431,0.8409744968971399,0.968063612710028,0.052933805210230334,0.891566265060241,0.864406779661017,0.9714285714285714
SVM,C — +L1+L4,4,0.9330256800215453,0.9385699899295066,0.939009759324856,0.9380167537497304,0.9813466840722044,0.012973892639648129,0.9067055393586005,0.9511400651465798,0.9591836734693877
SVM,D — Full naive,4,0.9353474320241691,0.9385699899295066,0.939009759324856,0.9380167537497304,0.9813466840722044,0.012973892639648129,0.9067055393586005,0.9511400651465798,0.9591836734693877
SVM,A — Correct,5,0.8776470588235294,0.9061032863849765,0.9149255618114104,0.8653913347309574,0.9623603850933665,0.04065340043154143,0.9036144578313253,0.8983050847457628,0.9428571428571428
SVM,B — +L4,5,0.8747058823529411,0.9061032863849765,0.9149255618114104,0.8653913347309574,0.9623402774640236,0.04158932074164195,0.9036144578313253,0.8983050847457628,0.9428571428571428
SVM,C — +L1+L4,5,0.9357993124534639,0.9375629405840886,0.937552126335146,0.9376380165901944,0.9833642728652094,0.01246874216945315,0.8851963746223565,0.9629629629629629,0.9644970414201184
SVM,D — Full naive,5,0.9395770392749245,0.9375629405840886,0.937552126335146,0.9376380165901944,0.9833642728652094,0.01246874216945315,0.8851963746223565,0.9629629629629629,0.9644970414201184
SVM,A — Correct,6,0.8835294117647059,0.8591549295774648,0.8723883427171154,0.7997533121472001,0.9567050345803505,0.0680305988405092,0.8554216867469879,0.847457627118644,0.9142857142857143
SVM,B — +L4,6,0.8847058823529412,0.8591549295774648,0.8723883427171154,0.8021350135835444,0.9574580367615638,0.06716729049817743,0.8554216867469879,0.847457627118644,0.9142857142857143
SVM,C — +L1+L4,6,0.9378077721274337,0.9375629405840886,0.9373124284185295,0.9380099424042129,0.9825179703766077,0.016170645051138157,0.8841463414634146,0.9670658682634731,0.9607250755287009
SVM,D — Full naive,6,0.9399798590130917,0.9375629405840886,0.9373124284185295,0.9380099424042129,0.9825179703766077,0.016170645051138157,0.8841463414634146,0.9670658682634731,0.9607250755287009
SVM,A — Correct,7,0.8864705882352941,0.8826291079812206,0.8746803193403152,0.8248955722639933,0.9519062796057027,0.06088949476544701,0.8855421686746988,0.8813559322033898,0.8571428571428571
SVM,B — +L4,7,0.8876470588235295,0.8826291079812206,0.8746803193403152,0.8248955722639933,0.9502601451701569,0.060832628126037035,0.8855421686746988,0.8813559322033898,0.8571428571428571
